Parameters:,Emissivity:,1.00 
,Refl. temp.:,5.0 °C
,Distance:,0.0 m
,Atmospheric temp.:,20.0 °C
,Ext. optics temp.:,20.0 °C
,Ext. optics trans.:,1.0 
,Relative humidity:,0.0 %
,
Bx1

Parameters:,Emissivity:,1.00 
,Refl. temp.:,5.0 °C
,Distance:,0.0 m
,
Frame 1,137.840,138.862,139.393,140.133,140.850,141.207,141.249,141.501,141.753,142.276,142.777,142.840,142.882,142.923,143.194,143.548,143.548,143.610,143.527,143.319,143.444,143.028
,141.753,141.585,141.669,141.690,141.711,141.858,142.109,142.151,142.255,142.610,142.798,143.028,143.173,143.194,143.298,143.506,143.735,143.652,143.714,143.382,143.361,143.215
,142.548,142.255,142.422,142.527,142.569,142.569,142.715,142.882,142.923,142.798,142.882,143.298,143.298,143.465,143.465,143.589,143.693,143.693,143.693,143.382,143.277,143.382
,142.527,142.548,142.527,142.527,142.527,142.757,142.610,142.736,143.007,142.923,143.153,143.277,143.340,143.423,143.486,143.548,143.548,143.548,143.548,143.548,143.506,143.361
,142.694,142.569,142.569,142.569,142.569,142.757,142.694,142.757,142.944,142.986,143.173,143.215,143.340,143.340,143.486,143.486,143.486,143.486,143.486,143.486,143.257,143.153
,142.694,142.631,142.631,142.631,142.631,142.631,142.861,142.882,142.944,142.840,143.048,143.007,143.153,143.298,143.382,143.382,143.382,143.382,143.382,143.382,143.257,143.028
,142.736,142.506,142.590,142.590,142.360,142.506,142.548,142.652,143.028,143.007,142.819,142.965,143.111,143.215,143.215,143.215,143.215,142.923,142.798,142.798,142.694,142.590
,142.548,142.506,142.276,142.255,142.255,142.360,142.255,142.506,142.694,142.443,142.213,141.983,142.255,142.464,142.109,142.213,141.941,141.690,141.543,141.417,141.291,140.871,

Frame 2,138.139,138.735,139.541,140.091,140.618,140.829,141.333,141.837,142.088,142.402,142.777,143.007,143.069,143.090,143.236,143.257,143.465,143.548,143.444,143.465,143.444,143.236
,141.774,141.585,141.690,141.837,141.858,141.878,142.339,142.590,142.610,142.694,142.861,143.173,143.277,143.298,143.527,143.548,143.569,143.797,143.569,143.444,143.382,143.215
,142.297,142.318,142.276,142.276,142.402,142.631,142.631,142.631,142.861,143.090,143.194,143.194,143.423,143.423,143.527,143.756,143.756,143.756,143.776,143.402,143.319,143.319
