Parameters:,Emissivity:,1.00 
,Refl. temp.:,5.0 °C
,Distance:,0.0 m
,Atmospheric temp.:,20.0 °C
,Ext. optics temp.:,20.0 °C
,Ext. optics trans.:,1.0 
,Relative humidity:,0.0 %
,
Bx1

Parameters:,Emissivity:,1.00 
,Refl. temp.:,5.0 °C
,Distance:,0.0 m
,
,74.721,74.712,74.770,74.867,74.818,74.799,74.857,74.915,74.915,74.905,74.905,74.954,74.954,74.954,75.060,75.118,75.069,75.021,75.021,74.915,74.963,74.963,74.857,74.905,74.905,75.011,74.983,74.576
,74.808,74.799,74.847,74.876,74.876,74.876,74.876,74.876,74.876,74.983,74.934,74.934,75.040,75.040,75.002,75.069,75.069,74.963,74.963,74.905,74.905,74.905,74.799,74.789,74.731,74.847,74.837,74.547
,74.828,74.828,74.828,74.828,74.828,74.828,74.828,74.934,74.934,74.896,74.934,74.983,74.915,74.954,75.002,75.050,75.002,74.954,74.905,74.896,74.896,74.896,74.799,74.741,74.663,74.576,74.576,74.537
,74.808,74.808,74.808,74.808,74.915,74.876,74.808,74.896,74.896,74.896,74.896,74.896,74.896,74.896,74.896,74.896,74.896,74.896,74.896,74.896,74.789,74.779,74.721,74.663,74.605,74.460,74.392,74.275
,74.731,74.731,74.731,74.808,74.789,74.779,74.770,74.837,74.779,74.828,74.770,74.808,74.847,74.741,74.779,74.818,74.750,74.789,74.721,74.712,74.605,74.489,74.431,74.372,74.207,74.013,73.925,73.731
,74.421,74.557,74.499,74.595,74.731,74.663,74.595,74.654,74.644,74.683,74.460,74.421,74.460,74.402,74.382,74.314,74.256,74.295,74.130,73.916,73.935,73.955,73.974,73.886,73.692,73.282,72.438,71.837
,73.623,74.091,74.363,74.372,74.392,74.295,74.139,74.139,74.178,73.994,73.828,73.760,73.672,73.399,73.223,73.252,73.076,72.723,72.330,71.827,71.422,71.441,71.817,71.965,71.620,69.928,67.178,65.048,

Frame 4,61.623,63.367,65.099,66.933,68.418,69.898,71.045,71.975,72.674,73.154,73.516,73.974,74.101,74.324,74.528,74.663,74.692,74.721,74.857,74.760,74.837,74.828,74.741,74.770,74.663,74.625,74.615,74.528
,71.965,72.428,72.988,73.321,73.643,73.848,74.149,74.353,74.392,74.421,74.557,74.702,74.799,74.896,74.886,74.963,74.925,74.915,75.011,74.934,74.944,74.886,74.886,74.837,74.828,74.750,74.692,74.586
,74.314,74.343,74.469,74.586,74.625,74.644,74.741,74.828,74.818,74.837,74.828,74.886,74.944,74.954,74.944,74.973,74.973,74.973,74.973,74.973,74.867,74.963,74.925,74.925,74.925,74.925,74.799,74.576
,74.750,74.770,74.760,74.770,74.837,74.828,74.886,74.896,74.847,74.954,74.934,74.992,75.002,74.963,74.963,75.069,75.031,75.098,74.963,74.925,74.925,74.973,74.867,74.905,74.905,75.011,74.973,74.625
