Parameters:,Emissivity:,1.00 
,Refl. temp.:,5.0 °C
,Distance:,0.0 m
,Atmospheric temp.:,20.0 °C
,Ext. optics temp.:,20.0 °C
,Ext. optics trans.:,1.0 
,Relative humidity:,0.0 %
,
Bx1

Parameters:,Emissivity:,1.00 
,Refl. temp.:,5.0 °C
,Distance:,0.0 m
,
Frame 1,192.040,197.072,201.805,206.252,209.586,212.051,214.083,215.896,217.083,218.424,219.414,219.978,220.526,221.182,221.587,221.961,221.914,221.868,221.805,221.681,221.182
,214.625,215.753,216.656,217.336,217.794,218.235,218.864,219.429,220.244,220.666,221.275,221.681,222.086,222.257,222.443,222.568,222.506,222.645,222.443,222.381,221.868
,218.801,218.990,218.958,219.320,219.461,219.806,219.978,220.275,220.854,221.369,221.556,221.992,222.412,222.537,222.661,222.878,222.832,223.034,222.847,222.459,222.226
,219.649,219.743,219.868,219.853,220.041,220.229,220.573,220.885,221.166,221.696,222.055,222.412,222.568,222.925,222.894,223.111,223.065,223.080,222.692,222.708,222.412
,219.947,220.150,220.166,220.369,220.541,220.682,220.620,220.901,221.447,221.821,222.195,222.754,222.692,222.941,222.956,223.065,223.065,223.065,222.692,222.661,222.397
,220.119,220.182,220.229,220.385,220.354,220.901,221.073,221.104,221.603,221.946,222.210,222.645,222.770,223.096,223.142,222.972,222.972,222.972,222.894,222.537,222.070
,220.369,220.307,220.322,220.541,220.557,220.651,220.635,220.994,221.525,221.883,222.163,222.210,222.568,222.708,222.941,222.708,222.568,222.630,222.412,222.070,221.416
,220.354,220.354,220.354,220.354,220.557,220.557,220.557,220.791,221.291,221.494,221.587,221.759,221.759,221.837,221.914,221.930,221.837,221.728,221.135,220.823,220.479
,220.291,220.291,220.088,220.182,220.182,220.229,220.119,220.197,220.229,220.260,220.463,220.463,220.291,220.166,220.025,220.025,219.759,219.225,218.864,218.723,218.188
,219.288,219.508,219.210,219.115,218.927,218.597,218.392,218.455,218.266,217.872,217.604,217.131,216.372,215.595,214.768,213.508,211.874,209.764,207.817,207.198,207.329,

Frame 2,192.125,197.156,201.888,206.333,209.456,211.923,214.163,215.975,217.162,218.345,219.492,220.009,220.510,221.369,221.805,222.101,222.023,222.070,221.868,221.650,221.494
,214.768,215.658,216.530,217.178,217.604,218.424,219.021,219.351,219.994,220.635,221.275,221.774,221.883,222.148,222.506,222.630,222.475,222.614,222.521,222.210,221.759
,218.581,218.817,218.833,218.927,219.429,219.837,219.900,220.275,220.807,221.135,221.759,222.303,222.475,222.645,222.770,222.754,222.832,223.049,222.910,222.537,222.023
,219.555,219.461,219.586,219.790,219.962,220.479,220.682,220.854,221.104,221.541,222.132,222.397,222.894,222.832,222.847,223.049,223.049,223.034,222.894,222.692,222.397
,220.150,219.868,219.962,220.260,220.479,220.510,220.698,220.870,221.322,221.759,222.210,222.816,222.910,222.910,222.910,223.049,223.049,223.049,222.894,222.661,222.366
,220.275,220.182,220.385,220.322,220.432,220.541,220.729,221.104,221.463,221.899,222.428,222.692,222.832,223.034,223.034,223.065,222.863,223.065,222.677,222.521,222.023
,220.213,220.416,220.432,220.448,220.401,220.510,220.494,220.885,221.463,221.743,222.055,222.350,222.723,222.941,222.941,222.863,222.692,222.661,222.101,222.132,221.463
,220.307,220.369,220.369,220.369,220.369,220.369,220.369,220.885,221.213,221.338,221.696,221.837,222.086,222.101,222.179,221.961,221.650,221.478,221.197,220.854,220.432
