Parameters:,Emissivity:,1.00 
,Refl. temp.:,5.0 °C
,Distance:,0.0 m
,Atmospheric temp.:,20.0 °C
,Ext. optics temp.:,20.0 °C
,Ext. optics trans.:,1.0 
,Relative humidity:,0.0 %
,
Bx1

Parameters:,Emissivity:,1.00 
,Refl. temp.:,5.0 °C
,Distance:,0.0 m
,
,75.176,75.050,75.050,75.040,75.137,75.079,75.079,75.127,75.147,75.108,75.147,75.214,75.253,75.272,75.272,75.272,75.272,75.272,75.272,75.272,75.272,75.272,75.272,75.272,75.176,75.137,75.243,75.378,75.185,75.011,74.963
,75.243,75.108,75.166,75.156,75.166,75.127,75.127,75.127,75.127,75.127,75.234,75.243,75.243,75.243,75.243,75.349,75.311,75.311,75.311,75.311,75.311,75.311,75.205,75.205,75.166,75.166,75.147,75.262,75.137,74.925,74.925
,75.234,75.147,75.137,75.137,75.137,75.137,75.243,75.205,75.166,75.195,75.253,75.253,75.253,75.253,75.253,75.349,75.243,75.282,75.282,75.282,75.282,75.282,75.282,75.205,75.205,75.098,74.954,74.944,74.847,74.828,74.828
,75.224,75.176,75.069,75.118,75.118,75.224,75.147,75.195,75.195,75.195,75.195,75.195,75.195,75.195,75.195,75.195,75.195,75.195,75.195,75.195,75.195,75.195,75.069,75.060,75.060,74.896,74.673,74.673,74.547,74.595,74.489
,75.118,75.021,75.011,75.098,75.137,75.079,75.069,75.050,75.089,75.127,75.060,75.098,75.137,75.069,75.108,75.040,75.069,75.098,75.021,75.050,75.079,74.867,74.712,74.741,74.760,74.586,74.363,74.256,74.101,73.955,73.692
,74.721,74.779,74.837,74.934,74.973,74.963,75.002,74.828,74.896,75.040,74.925,74.886,74.818,74.770,74.702,74.654,74.605,74.547,74.605,74.557,74.382,74.285,74.237,74.188,74.324,74.227,73.809,73.272,72.733,72.084,71.422
,73.262,73.721,74.188,74.469,74.528,74.654,74.595,74.508,74.450,74.411,74.363,74.372,74.217,74.120,73.857,73.779,73.682,73.526,73.467,73.056,72.605,72.084,71.906,72.044,72.300,72.340,71.679,69.577,67.229,65.172,63.073,

Frame 4,70.776,71.531,72.172,72.802,73.311,73.701,74.081,74.237,74.382,74.625,74.721,74.818,74.973,75.040,75.040,75.137,75.127,75.224,75.214,75.224,75.253,75.224,75.234,75.262,75.166,75.060,75.011,74.973,74.905,74.886,74.896
,74.392,74.440,74.537,74.625,74.818,74.896,74.944,75.040,75.031,75.127,75.118,75.108,75.166,75.282,75.185,75.301,75.301,75.311,75.262,75.262,75.262,75.262,75.262,75.262,75.166,75.079,75.079,75.185,75.002,74.944,74.886
,75.176,75.060,75.040,75.127,75.108,75.011,75.118,75.127,75.118,75.137,75.243,75.234,75.291,75.311,75.243,75.311,75.311,75.311,75.311,75.311,75.311,75.311,75.311,75.205,75.214,75.147,75.253,75.378,75.166,74.973,74.905
,75.301,75.069,75.089,75.098,75.166,75.089,75.127,75.127,75.127,75.234,75.253,75.282,75.262,75.349,75.311,75.320,75.320,75.320,75.320,75.320,75.320,75.214,75.214,75.195,75.166,75.069,75.195,75.301,75.214,75.011,74.867
,75.185,75.069,75.069,75.069,75.166,75.224,75.185,75.253,75.253,75.253,75.253,75.253,75.253,75.349,75.349,75.349,75.349,75.349,75.243,75.282,75.243,75.214,75.214,75.214,75.214,75.069,75.002,74.983,74.789,74.808,74.789
,75.214,75.127,75.089,75.127,75.108,75.176,75.214,75.118,75.156,75.195,75.234,75.234,75.340,75.243,75.282,75.214,75.253,75.243,75.243,75.243,75.243,75.137,75.176,75.069,75.060,74.905,74.692,74.683,74.576,74.528,74.450
,75.127,75.031,75.069,75.069,75.176,75.176,75.176,75.031,75.108,75.108,75.108,75.108,75.127,75.127,75.060,75.060,75.031,75.069,75.108,75.147,75.031,74.925,74.847,74.789,74.673,74.586,74.314,74.217,74.149,73.945,73.662
