Parameters:,Emissivity:,1.00 
,Refl. temp.:,5.0 °C
,Distance:,0.0 m
,Atmospheric temp.:,20.0 °C
,Ext. optics temp.:,20.0 °C
,Ext. optics trans.:,1.0 
,Relative humidity:,0.0 %
,
Bx1

Parameters:,Emissivity:,1.00 
,Refl. temp.:,5.0 °C
,Distance:,0.0 m
,
,74.712,74.712,74.712,74.712,74.808,74.808,74.702,74.750,74.750,74.750,74.760,74.808,74.808,74.808,74.808,74.808,74.808,74.779,74.721,74.760,74.654,74.692,74.683,74.566,74.557,74.411,74.343
,74.692,74.586,74.625,74.683,74.760,74.721,74.683,74.683,74.683,74.683,74.683,74.683,74.683,74.683,74.595,74.634,74.566,74.557,74.644,74.566,74.440,74.411,74.402,74.275,74.159,73.857,73.770
,74.256,74.411,74.411,74.508,74.595,74.625,74.547,74.576,74.499,74.421,74.343,74.363,74.275,74.159,74.101,74.130,74.178,74.023,74.003,73.896,73.731,73.750,73.740,73.740,73.643,73.330,72.576
,73.066,73.623,73.896,74.188,74.101,74.120,74.062,74.081,73.974,73.867,73.809,73.711,73.604,73.282,73.008,73.066,72.968,72.635,72.271,71.857,71.184,70.906,70.935,71.323,71.441,70.697,68.246,

Frame 4,71.827,72.300,72.762,73.213,73.545,73.760,73.964,74.198,74.237,74.275,74.518,74.595,74.605,74.605,74.712,74.818,74.770,74.789,74.847,74.847,74.692,74.799,74.750,74.692,74.721,74.644,74.644
,74.110,74.149,74.392,74.421,74.489,74.586,74.586,74.625,74.721,74.721,74.721,74.731,74.789,74.779,74.837,74.847,74.876,74.867,74.876,74.847,74.750,74.808,74.837,74.779,74.731,74.779,74.837
,74.566,74.663,74.702,74.692,74.634,74.750,74.712,74.702,74.731,74.837,74.905,74.896,74.905,74.886,74.896,74.963,74.934,74.896,74.896,74.896,74.857,74.867,74.818,74.692,74.721,74.808,74.896
,74.721,74.741,74.702,74.760,74.741,74.770,74.770,74.770,74.770,74.770,74.799,74.837,74.886,74.886,74.886,74.886,74.992,74.915,74.915,74.808,74.847,74.741,74.750,74.673,74.634,74.750,74.799
,74.741,74.741,74.741,74.741,74.741,74.741,74.741,74.741,74.741,74.741,74.799,74.905,74.867,74.867,74.867,74.867,74.992,74.934,74.799,74.789,74.789,74.731,74.702,74.692,74.586,74.576,74.508
,74.760,74.654,74.692,74.692,74.799,74.760,74.760,74.760,74.760,74.760,74.760,74.760,74.760,74.760,74.760,74.867,74.828,74.779,74.779,74.779,74.673,74.673,74.605,74.595,74.479,74.363,74.314
,74.595,74.489,74.673,74.712,74.673,74.712,74.712,74.712,74.712,74.605,74.644,74.683,74.615,74.654,74.615,74.625,74.557,74.595,74.634,74.634,74.528,74.421,74.314,74.305,74.139,73.886,73.789
,74.178,74.372,74.460,74.537,74.576,74.547,74.469,74.499,74.499,74.489,74.450,74.382,74.266,74.198,74.091,74.110,74.169,73.994,74.023,73.925,73.828,73.731,73.789,73.799,73.594,73.282,72.527
,73.017,73.565,73.877,74.110,74.139,74.149,74.003,74.023,74.013,73.789,73.799,73.692,73.584,73.262,73.086,73.056,72.949,72.546,72.281,71.728,71.174,70.876,70.935,71.303,71.392,70.647,68.165,

Frame 5,71.778,72.251,72.821,73.164,73.604,73.818,74.023,74.159,74.295,74.324,74.557,74.605,74.605,74.712,74.712,74.760,74.770,74.828,74.837,74.857,74.712,74.760,74.799,74.654,74.702,74.644,74.595
,74.139,74.159,74.382,74.392,74.537,74.605,74.712,74.712,74.654,74.644,74.799,74.760,74.770,74.770,74.837,74.905,74.915,74.915,74.876,74.847,74.731,74.731,74.799,74.779,74.828,74.770,74.789
,74.625,74.721,74.663,74.673,74.721,74.770,74.779,74.721,74.789,74.789,74.808,74.915,74.886,74.896,74.837,74.876,74.983,74.954,74.876,74.925,74.808,74.818,74.828,74.721,74.760,74.857,74.905
,74.712,74.731,74.702,74.702,74.808,74.779,74.760,74.770,74.760,74.760,74.867,74.915,74.808,74.818,74.925,74.925,74.954,74.934,74.905,74.799,74.799,74.799,74.799,74.721,74.673,74.779,74.828
,74.770,74.731,74.731,74.731,74.731,74.731,74.731,74.731,74.731,74.837,74.867,74.876,74.837,74.876,74.818,74.857,74.925,74.925,74.818,74.799,74.799,74.799,74.799,74.721,74.605,74.615,74.547
,74.760,74.654,74.692,74.692,74.799,74.760,74.760,74.760,74.760,74.760,74.867,74.867,74.867,74.760,74.760,74.857,74.789,74.789,74.789,74.789,74.683,74.615,74.615,74.557,74.450,74.353,74.402
,74.586,74.586,74.663,74.692,74.779,74.673,74.712,74.712,74.712,74.712,74.712,74.712,74.712,74.605,74.566,74.634,74.634,74.566,74.605,74.605,74.440,74.440,74.334,74.275,74.110,73.955,73.799
,74.227,74.372,74.343,74.518,74.566,74.566,74.528,74.557,74.479,74.508,74.324,74.363,74.363,74.207,74.139,74.139,74.139,74.081,74.052,73.945,73.779,73.779,73.779,73.682,73.692,73.379,72.625
,73.027,73.584,73.945,74.159,74.237,74.159,73.974,74.003,73.955,73.877,73.721,73.672,73.565,73.233,73.105,73.125,72.870,72.527,72.261,71.728,71.164,70.856,71.015,71.313,71.491,70.717,68.286,

Frame 6,71.699,72.291,72.762,73.223,73.565,73.789,74.110,74.227,74.246,74.372,74.489,74.663,74.663,74.673,74.683,74.799,74.741,74.818,74.837,74.799,74.760,74.828,74.760,74.692,74.760,74.625,74.586
,74.091,74.207,74.431,74.440,74.508,74.528,74.644,74.683,74.673,74.692,74.712,74.721,74.789,74.857,74.867,74.876,74.925,74.934,74.789,74.789,74.789,74.789,74.789,74.789,74.789,74.789,74.789
